Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
93,Iota Geminorum,5,58,23,16,06h04m04.8452s,+23d15m50.8783s,23,1170,4.3,G5,0.11,20,9.0,27.0,*,1398.00,,05 58 02.4,+23 16 07,4.16,G7   III,1 Gem,0.101,183,0.0126,4.8,F,06 04 07.2,+23 15 47
94,8 Monocerotis,6,18,4,39,06h23m18.1541s,+04d35m59.592s,4,1236,4.5,A5,0.009,16,6.0,19.0,,1482.00,A,06 18 28.0,+04 38 37,4.44,A5   IV,EPS Mon,0.024,296,0.0264,6.5,G,06 23 46.0,+04 35 34
,,,,,,,,,,,,,,,,,1482.00,B,06 18 28.4,+04 38 49,6.72,F5   V,EPS Mon,0.026,245,,,,06 23 46.4,+04 35 43
95,43 Zeta Geminorum,7,58,20,43,08h03m50.7333s,+20d26m10.7024s,20,1687,var.,G0,0.007,-5,10.0,25.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
96,54 Lambda Geminorum,7,12,16,43,07h17m45.1849s,+16d32m16.6458s,16,1443,3.6,A2,0.07,33,9.0,24.0,,1708.00,M,07 12 20.7,+16 43 15,3.58,A3   V,LAM Gem,0.062,229,0.0455,6.6,G,07 18 05.5,+16 32 25
97,6o Iota Geminorum,7,20,28,0,07h26m13.5467s,+27d48m08.8448s,28,1385,3.9,K0,0.14,35,8.0,25.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
98,17 Beta Cancri,8,11,9,30,08h16m25.7441s,+09d11m35.6568s,9,1917,3.8,K2,0.07,-3,9.0,26.0,,1967.00,,08 11 05.5,+09 29 37,3.52,K4   IIIB*,BET Cnc,0.069,221,0.0127,4.5,F,08 16 30.9,+09 11 07
99,5 Beta Virginis,11,45,2,20,11h50m07.6471s,+01d46m38.3697s,2,2489,3.8,F8,0.79,96,6.0,15.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
100,67 Ursae Majoris,11,57,43,36,12h02m07.6256s,+43d02m35.424s,43,2179,5.1,A3,0.32,8,7.0,20.0,*,2774.00,,11 57 02.1,+43 36 01,5.21,F0   Vam,67 UMa,0.335,281,0.0182,8.9,G,12 02 06.7,+43 02 43
101,42 Comae,13,5,18,3,13h09m54.9511s,+17d31m01.635s,18,2697,4.5,F5,0.45,64,14.0,31.0,*,3006.00,M,13 05 07.3,+18 03 29,4.98,F5   V,ALP Com,0.450,289,0.0546,5.0,G,13 09 59.3,+17 31 46
,,,,,,,,,,,,,,,,*,3006.00,A,13 05 07.3,+18 03 29,5.05,F5   V,ALP Com,0.450,289,0.0546,5.0,G,13 09 59.3,+17 31 46
,,,,,,,,,,,,,,,,*,3006.00,B,13 05 06.0,+18 03 00,5.17,F5   V,,,,,,,13 10 01.0,+17 31 02
102,8 Gamma Coronae,15,39,26,37,15h43m12.7227s,+26d17m58.1678s,26,2722,3.9,A0,0.1,24,10.0,25.0,,3555.00,,15 38 48.8,+26 36 04,10.70,K7   d,,0.038,162,0.0561,22.2,,15 43 01.7,+26 16 58
103,16 Tau Coronae,16,5,36,45,16h08m39.9351s,+36d29m09.9137s,36,2699,4.9,G2,0.32,21,10.0,21.0,,3664.00,,16 05 18.8,+36 44 41,4.76,K1-  III-*,TAU CrB,0.335,351,0.0287,11.6,G,16 08 58.3,+36 29 27
104,19 Xi Coronae,16,18,31,7,16h21m54.6207s,+30d52m52.4841s,31,2845,4.7,G5,0.13,9,8.0,19.0,*,3723.00,,16 18 11.9,+31 07 26,4.85,K0   III,XI CrB,0.146,318,0.0134,12.5,,16 22 05.8,+30 53 31
105,B. D. + 31  2873,16,33,31,9,16h36m52.4104s,+30d56m52.9613s,31,2873,7.3,F8,0.48,7,9.0,22.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
106,40 Zeta Herculis,16,38,31,47,16h41m49.8733s,+31d35m33.7129s,31,2884,3,G0,0.7,114,12.0,32.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
107,B. D. + 0  3593,16,48,0,11,16h53m07.1638s,+00d01m01.8986s,0,3593,6.8,G5,1.66,79,11.0,27.0,,3837.00,,16 47 56.3,+00 10 52,6.64,G7   V,G 019-004,1.658,206,0.0610,5.1,G,16 52 58.8,-00 01 36
108,65 Delta Herculis,17,11,24,57,17h15m06.6686s,+24d50m12.2771s,25,3221,3.2,A0,0.16,29,7.0,19.0,*,3916.00,,17 10 55.3,+24 57 25,3.14,A3   IV,DEL Her,0.159,189,0.0392,6.1,G,17 15 01.8,+24 50 21
109,68 u Herculis,17,14,33,12,17h17m41.7273s,+33d05m36.2176s,33,2864,var.,B3,0.021,-23,10.0,28.0,,3927.00,,17 13 37.8,+33 12 27,4.82,"B1.5+Vp,I*",68 Her,0.013,225,0.0094,8.9,F,17 17 19.5,+33 05 59
110,26 Draconis,17,34,61,57,17h34m58.4482s,+61d53m17.3194s,61,1678,5.3,F0,0.57,46,9.0,27.0,*,4013.00,M,17 33 57.3,+61 57 03,5.23,"G0+K3V,V",26 Dra,0.568,155,0.0633,6.6,G,17 34 59.4,+61 52 29
,,,,,,,,,,,,,,,,*,4013.00,A,17 33 57.3,+61 57 03,5.34,F9   V,26 Dra,0.568,155,0.0633,6.6,G,17 34 59.4,+61 52 29
,,,,,,,,,,,,,,,,*,4013.00,B,17 34 00.0,+61 57 00,7.95,K3   V,,,,,,,17 34 58.6,+61 53 17
,,,,,,,,,,,,,,,,*,4013.00,C,17 34 00.0,+61 57 00,10.00,M1   d,,0.573,153,,,,17 35 02.4,+61 52 27
111,84 Herculis,17,39,24,22,17h43m07.1299s,+24d19m14.5424s,24,3237,5.7,F0,0.13,1,9.0,24.0,,4046.00,,17 39 15.2,+24 22 16,5.71,G2   IIIb,84 Her,0.129,300,0.0050,13.9,,17 43 21.5,+24 19 39
112,86 µ Herculis,17,43,27,47,17h46m57.1818s,+27d44m48.7096s,27,2888,3.5,G5,0.82,104,8.0,24.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
113,30 Draconis,17,47,50,48,17h49m23.8282s,+50d46m16.8421s,50,2468,5.2,A0,0.21,-12,7.0,19.0,,4076.00,,17 46 40.9,+50 48 16,5.02,A2   V,30 Dra,0.217,346,-0.0038,9.5,G,17 49 04.2,+50 46 51
114,33 Gamma Draconis,17,54,51,30,17h56m19.4506s,+51d29m17.7085s,51,2282,2.4,K5,0.026,11,8.0,22.0,,4107.00,,17 54 16.9,+51 30 01,2.23,K5   III,GAM Dra,0.024,214,0.0233,2.1,G,17 56 36.3,+51 29 19
115,B. D. + 4  3589,18,1,4,39,18h05m56.5086s,+04d39m30.3797s,4,3589,6.8,G0,0.3,48,9.0,28.0,*,4138.00,,18 00 41.0,+04 39 29,6.79,G0/2 V,,0.314,183,0.0490,3.3,G,18 05 37.5,+04 39 25
116,72 Ophiuchi,18,3,9,33,18h07m44.894s,+09d33m47.0233s,9,3564,3.7,A2,0.1,32,8.0,22.0,*,4147.00,A,18 02 36.4,+09 32 58,3.73,A4   IV s,72 Oph,0.102,323,0.0451,7.8,G,18 07 20.9,+09 33 50
117,110 Herculis,18,41,20,27,18h45m18.2988s,+20d33m15.2375s,20,3926,4.3,F5,0.34,40,11.0,28.0,*,4328.00,,18 41 21.4,+20 27 01,4.19,F6   V,110 Her,0.335,182,0.0505,6.0,G,18 45 39.7,+20 32 46
118,13 Theta Cygni,19,34,49,59,19h36m41.2098s,+50d12m30.123s,49,3062,4.6,F5,0.25,57,8.0,19.0,*,4611.00,A,19 33 45.5,+49 59 21,4.48,F4   V,THE Cyg,0.260,356,0.0551,4.2,G,19 36 26.5,+50 13 15
119,Beta 658,19,40,26,54,19h44m05.8811s,+27d08m23.4081s,26,3654,6.5,K0,0.06,-15,9.0,26.0,,4638.00,M,19 39 50.0,+26 53 46,6.28,"B7+G1V,III",,0.007,169,-0.0111,13.9,,19 43 55.9,+27 08 07
,,,,,,,,,,,,,,,,,4638.00,A,19 39 50.0,+26 53 46,6.28,,,0.007,169,-0.0111,13.9,,19 43 55.9,+27 08 07
120,15 Cygni,19,41,37,7,19h44m35.8596s,+37d21m29.325s,37,3586,5,K0,0.08,15,9.0,24.0,,4641.00,,19 40 40.1,+37 06 45,4.89,G7+  III,15 Cyg,0.080,63,0.0181,13.9,,19 44 16.6,+37 21 15
121,37 Gamma Cygni,20,19,39,56,20h22m35.4489s,+40d15m15.502s,39,4159,2.3,F8p,0.006,-22,8.0,22.0,*,4857.00,,20 18 38.2,+39 56 11,2.20,F8   Ib,GAM Cyg,0.003,25,-0.0015,7.3,G,20 22 13.6,+40 15 24
122,58 Nu Cygni,20,53,40,47,20h56m43.4934s,+41d10m05.3515s,40,4364,4,A0,0.027,-5,8.0,22.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
123,46 Xi Pegasi,22,42,11,40,22h46m58.2512s,+12d11m36.754s,11,4875,4.3,F5,0.55,44,9.0,24.0,,5516.00,A,22 41 41.7,+11 39 35,4.19,F6   III-*,XI Peg,0.538,155,0.0501,10.6,G,22 46 41.5,+12 10 22
124,47 Lambda Pegasi,22,42,23,2,22h46m48.7492s,+23d33m36.5302s,22,4709,4.1,K0,0.06,32,11.0,28.0,,5515.00,,22 41 42.7,+23 02 21,3.95,G8.5 IIIa*,LAM Peg,0.058,95,0.0406,11.2,G,22 46 31.8,+23 33 56
125,3 Andromedae,23,0,49,30,23h04m27.9915s,+50d02m21.2472s,49,4028,4.9,K0,0.23,-9,11.0,29.0,,5586.00,,22 59 41.4,+49 30 30,4.65,K0   IIIb*,3 And,0.244,42,-0.0002,13.1,G,23 04 10.9,+50 03 08
126,7 Andromedae,23,8,48,52,23h12m34.1386s,+49d24m37.607s,48,3964,4.6,F0,0.14,53,13.0,34.0,,5615.00,,23 07 57.9,+48 51 35,4.52,F0   V,7 And,0.130,37,0.0488,6.1,G,23 12 32.9,+49 24 22
127,6 Gamma Piscium,23,12,2,44,23h17m06.0043s,+03d16m45.2955s,2,4648,3.8,K0,0.76,18,10.0,26.0,,5632.00,,23 11 58.8,+02 44 09,3.69,K0-  III:*,GAM Psc,0.760,88,0.0246,2.5,G,23 17 09.9,+03 16 57
128,62 Tau Pegasi,23,16,23,12,23h20m56.9296s,+23d44m51.7693s,22,4810,4.6,A5,0.048,31,9.0,25.0,,5649.00,,23 15 41.1,+23 11 34,4.60,A5   Vp,TAU Peg,0.033,94,0.0343,8.7,G,23 20 38.2,+23 44 25
129,68 Nu Pegasi,23,20,22,51,23h24m58.0872s,+23d23m57.7865s,22,4833,4.6,G0,0.19,33,9.0,21.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
130,85 Pegasi,23,57,26,33,00h02m07.2581s,+27d06m24.5759s,26,4734,5.8,G0,1.29,84,12.0,32.0,*,5807.00,,23 56 56.7,+26 33 10,5.75,G5   VbFe*,85 Peg,1.305,140,0.0789,3.9,F,00 02 10.3,+27 04 54
131,Anonymous,0,0,45,14,00h05m08.9166s,+45d47m24.4529s,,,,,0.86,0.099,0.01,0.023,,4.00,A,00 00 23.3,+45 15 33,9.01,K6   d,OSIG  547A,0.885,98,0.0886,2.3,G,00 05 40.9,+45 48 45
,,,,,,,,,,,,,,,,,4.00,B,00 00 23.8,+45 15 30,9.08,M0.5 V,OSIG  547B,0.835,102,,,,00 05 40.8,+45 48 36
,,,,,,,,,,,,,,,,,4.00,C,00 00 24.0,+45 16 00,13.30,,OSIG  547C,0.874,99,,,,00 05 41.4,+45 49 10
,,,,,,,,,,,,,,,,*,4.00,F,00 00 24.0,+45 16 00,9.93,M2   de,LHS 1014,0.894,101,,,,00 05 41.6,+45 49 07
132,Omicron Sigma 547 (prec.),0,0,45,16,00h05m08.9184s,+45d49m24.4529s,45,4408,8.9,K5,,0.092,7.0,16.0,,4.00,A,00 00 23.3,+45 15 33,9.01,K6   d,OSIG  547A,0.885,98,0.0886,2.3,G,00 05 40.9,+45 48 45
,,,,,,,,,,,,,,,,,4.00,B,00 00 23.8,+45 15 30,9.08,M0.5 V,OSIG  547B,0.835,102,,,,00 05 40.8,+45 48 36
,,,,,,,,,,,,,,,,,4.00,C,00 00 24.0,+45 16 00,13.30,,OSIG  547C,0.874,99,,,,00 05 41.4,+45 49 10
,,,,,,,,,,,,,,,,*,4.00,F,00 00 24.0,+45 16 00,9.93,M2   de,LHS 1014,0.894,101,,,,00 05 41.6,+45 49 07
133,Omicron Sigma 547 (fol.),0,0,45,15,00h05m08.9175s,+45d48m24.4529s,,,8.9,K5,,0.121,9.0,23.0,,4.00,A,00 00 23.3,+45 15 33,9.01,K6   d,OSIG  547A,0.885,98,0.0886,2.3,G,00 05 40.9,+45 48 45
,,,,,,,,,,,,,,,,,4.00,B,00 00 23.8,+45 15 30,9.08,M0.5 V,OSIG  547B,0.835,102,,,,00 05 40.8,+45 48 36
,,,,,,,,,,,,,,,,,4.00,C,00 00 24.0,+45 16 00,13.30,,OSIG  547C,0.874,99,,,,00 05 41.4,+45 49 10
,,,,,,,,,,,,,,,,*,4.00,F,00 00 24.0,+45 16 00,9.93,M2   de,LHS 1014,0.894,101,,,,00 05 41.6,+45 49 07
,Mean,,,,,0,0,,,,,0.86,0.103,5.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
134,Epsilon Andromedae,0,33,28,46,00h38m18.8864s,+29d19m00.3636s,28,103,4.5,G5,0.34,0.033,6.0,19.0,,106.00,,00 33 16.1,+28 46 07,4.37,G6   IIIF*,EPS And,0.337,222,0.0339,7.5,G,00 38 33.4,+29 18 42
135,Beta Trianguli,2,4,34,31,02h09m56.168s,+34d59m24.7406s,34,381,3.1,A5,0.16,0.006,6.0,18.0,,439.00,,02 03 35.3,+34 30 51,3.00,A5   III,BET Tri,0.154,103,0.0173,8.2,G,02 09 32.5,+34 59 14
136,54 Chi Orionis,5,48,20,15,05h53m56.6801s,+20d16m18.9201s,20,1162,4.6,F8,0.21,0.096,10.0,29.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
137,B. D. + 13  1036,5,50,13,55,05h55m40.5061s,+13d56m02.6158s,13,1036,6.5,G5,0.48,0.083,8.0,20.0,*,1365.00,,05 50 20.4,+13 55 18,6.60,G5   IV,Lal 11196 b,0.608,143,0.0496,5.7,P,05 56 03.4,+13 55 29
,,,,,,,,,,,,,,,,,1366.00,,05 50 20.0,+13 55 27,8.50,G5,Lal 11196 f,0.063,273,0.0041,15.0,,05 56 00.1,+13 56 27
138,71 Orionis,6,9,19,11,06h14m53.7806s,+19d09m15.5183s,19,1270,5.2,F5,0.22,0.034,7.0,21.0,,1445.00,,06 08 54.0,+19 11 00,11.00,,ADS 4842D,0.212,207,0.0023,16.2,,06 14 47.1,+19 08 58
,,,,,,,,,,,,,,,,,1446.00,,06 08 54.0,+19 11 00,11.30,,ADS 4842C,0.212,207,0.0043,18.5,,06 14 47.1,+19 08 58
,,,,,,,,,,,,,,,,,1447.00,,06 08 54.0,+19 11 00,10.80,,ADS 4842B,0.212,207,-0.0007,14.1,,06 14 47.1,+19 08 58
,,,,,,,,,,,,,,,,*,1449.00,,06 08 57.8,+19 11 26,5.20,F6   V,71 Ori,0.217,208,0.0379,11.1,,06 14 50.9,+19 09 23
139,Kappa Aurigae,6,9,29,32,06h15m22.9468s,+29d30m13.3951s,29,1154,4.4,K0,0.27,0.01,8.0,23.0,,1448.00,,06 09 00.3,+29 32 05,4.35,G8.5 IIIb,KAP Aur,0.273,195,0.0250,8.8,G,06 15 22.7,+29 29 52
140,56 Aurigae,6,40,43,41,06h47m12.4882s,+43d34m40.8799s,43,1595,5.3,F5,0.16,0.072,7.0,20.0,,1571.00,,06 39 31.8,+43 40 37,5.25,G0   V,PSI5 Aur,0.164,359,0.0682,8.3,G,06 46 44.3,+43 34 38
141,B. D. + 21  1596,7,21,21,44,07h26m56.8709s,+21d32m01.8093s,21,1596,6.4,F5,0.31,0.035,7.0,22.0,,1749.00,,07 20 55.6,+21 44 08,6.54,F6   V,,0.315,265,0.0295,3.7,G,07 26 50.2,+21 32 08
142,10 Ursa Majoris,8,54,42,11,09h00m33.4427s,+41d47m39.4503s,42,1956,4.1,F5,0.5,0.067,6.0,18.0,*,2153.00,A,08 54 08.9,+42 10 43,3.97,F5   V,10 UMa,0.506,240,0.0661,6.5,G,09 00 38.3,+41 46 57
,,,,,,,,,,,,,,,,*,2153.00,B,08 54 12.0,+42 11 00,6.79,G5   V,10 UMa,0.507,240,,,,09 00 41.4,+41 47 14
143,Mu Leonis,9,47,26,29,09h52m42.829s,+26d00m50.0105s,26,2019,4.1,K0,0.23,0.02,9.0,23.0,,2338.00,,09 47 04.6,+26 28 40,3.88,K2   IIIC*,MU Leo,0.224,254,0.0227,10.2,G,09 52 45.8,+26 00 24
144,B. D. + 4  3195,16,26,4,26,16h30m58.0749s,+04d13m00.6615s,4,3195,7.3,F6,1.45,0.029,6.0,15.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
145,41 Herculis,16,40,6,17,16h44m53.7126s,+06d05m54.5652s,6,3288,6.7,G5,0.35,0.028,8.0,20.0,*,3805.00,A,16 40 07.6,+06 16 47,6.58,K0   V,41 Her,0.341,219,0.0286,7.8,G,16 44 59.9,+06 05 16
,,,,,,,,,,,,,,,,*,3806.00,,16 40 06.0,+06 17 00,10.30,K5   d,R 643,0.340,219,0.0234,13.3,,16 44 58.3,+06 05 29
146,B. D. + 63  1439,18,34,63,37,18h34m40.5032s,+63d41m59.2532s,63,1439,8.1,G5,0.25,0.023,8.0,19.0,,4297.00,,18 34 29.1,+63 37 09,8.07,F9   V,Groom 2630,0.265,188,0.0141,8.7,G,18 35 09.3,+63 41 46
147,B. D + 10  3665,18,44,10,39,18h48m42.6363s,+10d45m42.7184s,10,3665,8,K0,0.46,0.045,11.0,25.0,,4340.00,,18 43 45.6,+10 38 46,7.97,K4   d,G 141-037,0.447,164,0.0640,5.6,G,18 48 29.2,+10 44 44
148,B. D. + 17  3779,18,52,17,59,18h56m25.0521s,+18d06m49.7605s,17,3779,5.7,AO,0.18,0,8.0,21.0,,4390.00,,18 51 41.3,+17 58 48,5.69,K1   III,,0.178,199,0.0037,12.5,,18 56 06.0,+18 06 18
149,Iota Cygni,19,27,51,31,19h29m31.0053s,+51d43m33.0612s,51,2605,3.9,A2,0.13,-0.006,7.0,18.0,,4570.00,,19 27 11.0,+51 30 59,3.79,A5   Vn,IOT2 Cyg,0.132,8,0.0012,8.9,G,19 29 42.3,+51 43 46
150,Omicron1 Cygni,20,10,46,31,20h13m08.4405s,+46d49m08.6532s,46,2881,5,A2,0.021,-0.011,10.0,30.0,,4810.00,,20 10 09.3,+46 30 46,4.83,A5   IIIn,30 Cyg,0.009,42,0.0101,10.7,F,20 13 17.9,+46 48 56
151,Omicron2 Cygni,20,10,46,26,20h13m08.7876s,+46d44m08.6743s,46,2882,4,K0,0.006,-0.013,9.0,25.0,*,4811.00,M,20 10 28.8,+46 26 16,3.79,"K2+B3II,V",31 Cyg,0.005,8,0.0047,4.7,G,20 13 37.8,+46 44 28
,,,,,,,,,,,,,,,,*,4811.00,A,20 10 28.8,+46 26 16,3.79,,31 Cyg,0.005,8,0.0047,4.7,G,20 13 37.8,+46 44 28
152,B. D. + 41  3799,20,29,41,33,20h32m33.103s,+41d53m25.7181s,41,3799,7,G5,0.47,0.021,8.0,21.0,,4893.00,,20 29 19.7,+41 32 41,7.09,"G9+K5V,V",Groom 3215,0.486,341,0.0491,5.1,G,20 32 51.5,+41 53 54
153,B. D. + 57  2240,20,43,57,13,20h45m29.8301s,+57d34m56.8067s,57,2240,4.6,G0,0.24,0.04,5.0,14.0,*,4963.00,,20 42 52.1,+57 13 14,4.51,F8   IV-V,LTT 16071,0.243,197,0.0436,7.3,G,20 45 21.1,+57 34 46
154,B. D. + 17  4519,21,7,17,21,21h11m38.7336s,+17d45m33.9438s,17,4519,7.3,F5,0.91,0.038,4.0,11.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
155,B. D. + 45  3561,21,26,45,27,21h29m43.1s,+45d53m18.8972s,45,3561,7.9,G0,0.56,0.02,11.0,29.0,*,5186.00,,21 25 59.5,+45 26 45,7.90,G8   V,CI 18-2797,0.555,50,0.0204,10.1,G,21 29 46.7,+45 53 39
156,Rho Cygni,21,30,45,9,21h33m45.8541s,+45d35m40.3325s,44,3865,4.2,K0,0.1,-0.017,9.0,21.0,,5200.00,,21 30 13.0,+45 08 58,4.02,G8   IIIF*,RHO Cyg,0.094,196,-0.0020,11.3,G,21 33 58.8,+45 35 30
157,B. D. + 53  2735,21,51,53,28,21h54m31.4834s,+53d56m23.5296s,53,2735,6.9,F5,0.17,0.009,6.0,18.0,,5301.00,,21 51 26.2,+53 27 33,6.94,F5   V,Bradley 287,0.176,58,0.0150,8.0,G,21 54 59.8,+53 56 08
158,B. D. + 56  2727,22,8,56,21,22h11m33.6428s,+56d50m37.2193s,56,2727,5.4,F8,0.27,0.022,7.0,19.0,*,5376.00,,22 08 12.0,+56 20 30,5.24,F8   V,,0.270,61,0.0215,8.9,G,22 11 48.8,+56 50 21
159,Beta Pegasi,22,59,27,32,23h03m49.5692s,+28d04m19.4442s,27,4480,2.6,Mb,0.23,0.018,10.0,26.0,*,5583.00,,22 58 55.4,+27 32 25,2.42,M2.5 II-I*,BET Peg,0.237,53,0.0198,6.3,G,23 03 46.4,+28 04 58
160,Lambda Andromedae,23,33,45,55,23h37m52.4848s,+46d28m13.0807s,45,4283,4,K0,0.45,0.044,5.0,12.0,*,5716.00,,23 32 39.9,+45 54 58,3.82,G8   III-*,LAM And,0.446,159,0.0477,7.4,G,23 37 33.8,+46 27 29
161,Chi Pegasi,0,9,19,39,00h14m09.835s,+20d12m22.0194s,19,27,4.9,Ma,0.1,0.01,0.006,0.019,,38.00,,00 09 25.5,+19 39 02,4.80,M2+  III,CHI Peg,0.093,87,0.0141,9.8,,00 14 36.1,+20 12 24
162,Nu Piscium,1,14,26,44,01h19m29.763s,+27d15m33.2221s,26,220,4.7,A2,0.029,0.011,7.0,21.0,,273.00,,01 13 58.0,+26 44 18,4.76,A3   V,UPS Psc,0.026,108,0.0166,11.1,,01 19 28.0,+27 15 50
163,Gamma Andromedae (prec),1,58,41,51,02h04m08.2311s,+42d19m51.3214s,41,395,2.3,K0,0.07,-0.003,10.0,31.0,,424.00,A,01 57 45.4,+41 50 59,2.26,K3-  IIb,GAM1 And,0.065,136,0.0083,5.2,G,02 03 53.9,+42 19 46
,,,,,,,,,,,,,,,,,424.00,B,01 57 46.2,+41 51 04,4.84,"B8+A0V,V",GAM2 And,0.061,144,,,,02 03 54.7,+42 19 51
164,Gamma Andromedae (fol),1,58,41,51,02h04m08.2311s,+42d19m51.3214s,41,395,5.1,A0,0.07,-0.005,7.0,22.0,,424.00,A,01 57 45.4,+41 50 59,2.26,K3-  IIb,GAM1 And,0.065,136,0.0083,5.2,G,02 03 53.9,+42 19 46
,,,,,,,,,,,,,,,,,424.00,B,01 57 46.2,+41 51 04,4.84,"B8+A0V,V",GAM2 And,0.061,144,,,,02 03 54.7,+42 19 51
,Mean,,,,,0,0,,,,,,-0.004,6.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
165,16 Persei,2,44,37,54,02h50m17.2316s,+38d18m54.6902s,37,646,4.3,F0,0.22,0.017,8.0,26.0,*,576.00,,02 44 16.0,+37 54 24,4.23,F2   III,16 Per,0.221,117,0.0212,9.6,G,02 50 35.0,+38 19 07
166,Omicron Tauri,3,19,8,41,03h24m23.4452s,+09d02m17.1136s,8,511,3.8,G5,0.1,0.001,6.0,18.0,,711.00,,03 19 25.7,+08 40 37,3.60,G6   IIIF*,OMI Tau,0.101,222,0.0143,7.4,G,03 24 48.7,+09 01 44
167,40 Orionis,5,31,9,14,05h36m29.045s,+09d17m49.1466s,9,898,4.4,K0,0.32,0.034,8.0,22.0,,1285.00,,05 31 24.6,+09 14 11,4.09,K0   IIIb*,PHI2 Ori,0.327,162,0.0313,1.5,G,05 36 54.3,+09 17 25
168,B. D. + 5  1168,6,12,5,8,06h17m19.3261s,+05d05m51.8298s,5,1168,5.8,F8,0.28,0.046,8.0,21.0,*,1463.00,A,06 11 58.2,+05 07 52,5.71,F9   V,,0.261,306,0.0500,9.6,G,06 17 16.1,+05 06 00
169,8 Lyncis,6,29,61,34,06h38m11.1479s,+61d29m07.191s,61,893,6,F0,0.019,0.023,9.0,24.0,*,1526.00,,06 28 33.0,+61 34 08,5.94,G8   IV-V,8 Lyn,0.344,216,0.0341,11.8,G,06 37 41.3,+61 28 52
170,B. D. + 21  1528,7,4,21,25,07h09m57.3754s,+21d15m22.4448s,21,1528,6.5,F8,0.51,0.022,6.0,16.0,*,1672.00,,07 04 10.5,+21 25 15,6.43,G9   V,Lal 13849,0.507,199,0.0253,6.6,G,07 10 06.7,+21 14 48
171,18 Lyncis,7,7,59,49,07h15m45.3569s,+59d38m45.683s,59,1065,5.3,G5,0.27,0.031,6.0,18.0,,1683.00,,07 07 10.9,+59 48 56,5.20,K2   III,18 Lyn,0.278,200,0.0344,9.8,,07 15 54.8,+59 38 14
172,38 Lyncis,9,13,37,14,09h19m13.4727s,+36d48m46.4567s,37,1965,3.8,A0,0.13,0.026,8.0,24.0,,2214.00,,09 12 37.3,+37 13 33,3.82,A3   V,38 Lyn,0.130,195,0.0388,9.6,G,09 18 50.6,+36 48 10
173,35 Leonis,10,11,24,0,10h16m33.6757s,+23d30m06.8764s,24,2207,5.9,G0,0.21,0.038,7.0,19.0,,2410.00,,10 11 00.0,+24 00 00,5.97,G1.5 IV-V,35 Leo,0.204,278,0.0348,1.8,G,10 16 32.2,+23 30 10
174,Omicron Virginis,12,0,9,17,12h05m07.1503s,+08d43m35.5457s,9,2583,4.2,G5,0.22,0.034,6.0,17.0,,2789.00,,12 00 06.8,+09 17 18,4.12,G8   IIIa*,OMI Vir,0.226,281,0.0382,6.7,G,12 05 12.5,+08 43 58
175,8 Canum Ven.,12,29,41,54,12h33m51.1531s,+41d20m54.239s,42,2321,4.3,G0,0.75,0.109,6.0,16.0,*,2895.00,,12 28 59.6,+41 54 03,4.26,G0   V,BET CVn,0.764,292,0.1169,2.4,G,12 33 44.5,+41 21 26
176,B. D. + 10  2637,14,5,10,43,14h09m54.3368s,+10d14m37.4963s,10,2637,7.9,G0,0.17,0.023,9.0,23.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
177,Xi Bootis,14,47,19,31,14h51m35.8557s,+19d06m17.9408s,19,2870,4.6,K5,0.17,0.147,7.0,19.0,,3360.00,A,14 46 46.3,+19 30 57,4.55,G8   V,XI Boo,0.171,127,0.1497,1.7,P,14 51 23.2,+19 06 04
,,,,,,,,,,,,,,,,,3360.00,B,14 46 48.0,+19 31 00,6.97,K4   V,SIG 1888B,0.171,127,,,,14 51 24.9,+19 06 07
,,,,,,,,,,,,,,,,,3360.00,C,14 46 48.0,+19 31 00,12.60,,,,,,,,14 51 23.9,+19 06 17
